Name,TSM,LCV,LCB (500),LCG,MCV,MCB,MCG,SCV,SCB,SCG,Micro Cap,REIT,Int'l Dev,EM,Total Int'l,Pacific,Europe,Int'l Value,Int'l Small,LTT,ITT,STT,TBM,STB,TBILL,IT Corp.,Wellington,Wellesley,Windsor,COMM,GOLD,Energy,Health,Precious Metals,Windsor II,ST Munis,IT Munis,LT Munis,ST Invest. Grade,Hi-Yield Corp. Bd,TIPS,Global Bd,Int'l Bd,Extended Mkt,Total World Mkt,Momentum Factor,Quality Factor,Min Vol Factor,Value Factor,Dividend Growth,High Dividends,LT STRIPS,Inflation
Symbol,VTSMX,VIVAX,VFINX,VIGRX,VMVIX,VIMSX,VMGIX,VISVX,NAESX,VISGX,BRSIX,VGSIX,VDVIX,VEIEX,VGTSX,VPACX,VEURX,EFV,VFSVX,VUSTX,VFITX,VFISX,VBMFX,VBISX,VUSXX,VCIT,VWELX,VWINX,VWNDX,GSG,IAU,VGENX,VGHCX,FSAGX,VWNFX,VWSTX,VWITX,VWLTX,VFSTX,VWEHX,VIPSX,BNDW,VTIBX,VEXMX,VTWSX,MTUM,QUAL,USMV,VLUE,VDAIX,VHDYX,EDV,CPI-U
1895,4.794464221,,4.794464221,,,,,,,,,,,,,,,,,1.296659491,-2.125133467,-1.171994425,-1.746525582,-1.122654432,2.997302428,,,,,,,,,,,,,,,,,,,,,,,,,,,1.731407905,1.44920397
1896,2.900435877,,2.900435877,,,,,,,,,,,,,,,,,6.266773628,8.055018012,8.476645939,8.096901957,8.530803026,5.664901589,,,,,,,,,,,,,,,,,,,,,,,,,,,6.991481676,-2.857125741
1897,19.73758066,,19.73758066,,,,,,,,,,,,,,,,,3.909293971,3.139491361,3.052916534,3.17961628,3.104365819,3.346987711,,,,,,,,,,,,,,,,,,,,,,,,,,,4.651055031,2.941158332
1898,28.50861253,,28.50861253,,,,,,,,,,,,,,,,,6.806209579,4.323006017,3.636501836,4.228411778,3.688242476,3.4568888,,,,,,,,,,,,,,,,,,,,,,,,,,,9.549439561,1.428623679
1899,3.637801814,,3.637801814,,,,,,,,,,,,,,,,,2.173420139,0.196844732,0.985927862,0.472483539,1.0363452,3.267059646,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54930366,16.90141692
1900,20.65076107,,20.65076107,,,,,,,,,,,,,,,,,3.671302684,3.365213144,4.346002117,3.615700782,4.398096976,4.545908682,,,,,,,,,,,,,,,,,,,,,,,,,,,4.114449069,-2.409725272
1901,19.21075699,,19.21075699,,,,,,,,,,,,,,,,,1.7417967,1.475428764,2.873508952,1.848722467,2.924868667,4.206214407,,,,,,,,,,,,,,,,,,,,,,,,,,,1.322736659,2.469226856
1902,8.099891679,,8.099891679,,,,,,,,,,,,,,,,,1.257322305,0.638161544,2.575534133,1.157375879,2.626745083,4.625836747,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662506527,9.638592114
1903,-17.01924634,,-17.01924634,,,,,,,,,,,,,,,,,1.667683533,4.415411528,6.177579889,4.79427056,6.230589165,5.405135378,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112041828,-4.39557396
1904,30.65540579,,30.65540579,,,,,,,,,,,,,,,,,2.055576998,2.991249792,3.97291103,3.248217869,4.024819622,4.246178439,,,,,,,,,,,,,,,,,,,,,,,,,,,1.262882331,2.298344658
1905,20.82728308,,20.82728308,,,,,,,,,,,,,,,,,3.990874311,0.753068514,1.624527239,1.06388711,1.675263399,4.076331302,,,,,,,,,,,,,,,,,,,,,,,,,,,5.490678788,0
1906,0.770775018,,0.770775018,,,,,,,,,,,,,,,,,-0.131558786,0.395887973,3.11388412,1.080894663,3.165363843,5.375162354,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.869567671,4.494371699
1907,-23.85137795,,-23.85137795,,,,,,,,,,,,,,,,,0.688217712,3.853498695,6.305227274,4.372977276,6.358300278,6.134478969,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.77028351,-2.150075203
1908,37.90911702,,37.90911702,,,,,,,,,,,,,,,,,5.218999727,6.942054335,7.215908291,6.973753903,7.269435953,5.225297232,,,,,,,,,,,,,,,,,,,,,,,,,,,5.308790948,3.29644659
1909,15.95245685,,15.95245685,,,,,,,,,,,,,,,,,1.474081086,0.026811617,0.916547445,0.336397346,0.966930145,3.556798881,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19207787,10.63870237
1910,-3.508104527,,-3.508104527,,,,,,,,,,,,,,,,,2.732983455,5.547532074,6.485873788,5.738359746,6.53903698,5.165351184,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179733443,-6.731327672
1911,3.307365373,,3.307365373,,,,,,,,,,,,,,,,,3.357082726,2.994578451,3.215522502,3.109239554,3.267052968,3.906484164,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43672123,-1.030267418
1912,7.086920417,,7.086920417,,,,,,,,,,,,,,,,,-2.046939903,-0.173769977,1.824014671,0.361186936,1.874850425,4.256169447,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.442508699,7.291379849
1913,-4.971749228,,-4.971749228,,,,,,,,,,,,,,,,,8.279198937,6.846295148,6.62773733,6.816867184,6.680971348,5.5550005,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93583207,2.040816327
1914,-5.747246567,,-5.747246567,,,,,,,,,,,,,,,,,2.862685411,5.471450926,5.798950979,5.533067743,5.851771224,4.545908682,,,,,,,,,,,,,,,,,,,,,,,,,,,1.294736776,1
1915,30.29886501,,30.29886501,,,,,,,,,,,,,,,,,6.671484827,4.84786662,3.769959972,4.679913915,3.821767241,3.556798881,,,,,,,,,,,,,,,,,,,,,,,,,,,9.042465861,2.97029703
1916,8.422699111,,8.422699111,,,,,,,,,,,,,,,,,1.408335225,2.198558107,2.583291152,2.3527956,2.634505976,3.546807873,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059936323,12.5
1917,-17.56577364,,-17.56577364,,,,,,,,,,,,,,,,,-0.462261999,-0.294963839,1.220924578,0.144845454,1.271459238,4.156259367,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.571045167,19.65811966
1918,16.61898031,,16.61898031,,,,,,,,,,,,,,,,,5.302412479,5.009124725,5.846681352,5.22775525,5.899525426,5.884703767,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8748341,17.85714286
1919,19.06897223,,19.06897223,,,,,,,,,,,,,,,,,-1.724488615,-0.668849798,2.073569913,0.029690074,2.124530258,5.465081427,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.125658566,16.96969697
1920,-13.82393076,,-13.82393076,,,,,,,,,,,,,,,,,3.215906038,3.503296992,5.833382506,4.06481517,5.886219941,7.203516835,,,,,,,,,,,,,,,,,,,,,,,,,,,2.121171107,-1.554404145
1921,8.98946819,,8.98946819,,,,,,,,,,,,,,,,,15.82705734,12.49770169,11.04528148,12.1281708,11.10072096,7.343390948,,,,,,,,,,,,,,,,,,,,,,,,,,,23.52678611,-11.05263158
1922,28.72389613,,28.72389613,,,,,,,,,,,,,,,,,3.295052792,3.11212551,3.634376708,3.287571099,3.686116287,4.485962634,,,,,,,,,,,,,,,,,,,,,,,,,,,3.063241475,-0.591715976
1923,5.021509213,,5.021509213,,,,,,,,,,,,,,,,,8.251983361,6.176224845,5.56886064,6.084925827,5.621566012,4.865620941,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48683007,2.976190476
1924,25.87134524,,25.87134524,,,,,,,,,,,,,,,,,6.597611697,5.345982195,4.824312602,5.275487297,4.876646258,4.246178439,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71159464,0
1925,25.0612092,,25.0612092,,,,,,,,,,,,,,,,,6.142210199,3.485574299,3.052132201,3.46891453,3.103581094,3.776601059,,,,,,,,,,,,,,,,,,,,,,,,,,,8.678392832,3.468208092
1926,11.22768046,,11.22768046,,,,,,,,,,,,,,,,,8.290595195,4.51022876,3.939206681,4.451798348,3.991098446,4.186232391,,,,,,,,,,,,,,,,,,,,,,,,,,,12.36125654,-2.234636872
