,MKT-TSM,LCV,500 Idx,LCG,MCB,SCV,SCB,SCG,D10,REIT,EAFED,EM,Total Intl,Pacific,Europe,Intl Value,COMM,LTT,ITT,ITB,TBILL,S-TIPS,Wellington,Wellesley,Windsor,STT,GOLD,VG Intl Small
,VTSMX,VIVAX,VFINX,VIGRX,VIMSX,VISVX,NAESX,VISGX,BRSIX,VGSIX,VTMGX,VEIEX,VGTSX,VPACX,VEURX,VTRIX,PCRIX,VUSTX,VFITX,VBMFX,VUSXX,VIPSX,VWELX,VWINX,VWNDX,VFISX,GLD,VFSVX
2000,-10.57,6.08,-9.06,-22.21,18.1,21.88,-2.67,1.59,0.67,26.35,-14.36706964,-27.56,-15.61,-25.74,-8.18,-7.48,35.83076588,19.72,14.03,11.39,5.8,4.590818363,10.4,16.17,15.89,8.83,-5.82030191,-2.68
2001,-10.97,-11.88,-12.02,-12.93,-0.5,13.7,3.1,-0.78,23.98,12.35,-22.01019083,-2.88,-20.15,-26.34,-20.3,-14.02,-15.24858515,4.31,7.55,8.43,3.99,7.395209581,4.19,7.39,5.72,7.8,0.436294538,-22.52
2002,-20.96,-20.91,-22.15,-23.68,-14.61,-14.2,-20.02,-15.41,4.9,3.75,-15.62,-7.43,-15.08,-9.32,-17.95,-13.35,39.92969247,16.67,14.15,8.26,1.51,16.61,-6.9,4.64,-22.25,8.02,24.95636245,-13.88
2003,31.35,32.25,28.5,25.92,34.14,37.19,45.63,42.88,79.43,35.65,38.67,57.65,40.34,38.42,38.7,41.9,29.82,2.68,2.37,3.97,0.82,8,20.75,9.66,37.01,2.38,19.12316173,57.37
2004,12.52,15.29,10.74,7.2,20.35,23.55,19.9,16.06,20.12,30.76,20.25,26.12,20.84,18.83,20.86,19.77,16.36,7.12,3.4,4.24,1,8.27,11.17,7.57,13.38,1.03,4.482731326,31.77
2005,5.98,7.09,4.77,5.09,13.93,6.07,7.36,8.64,4.08,11.89,13.6,32.05,15.57,22.59,9.26,17.96,20.5,6.61,2.32,2.4,2.77,2.59,6.82,3.48,4.99,1.77,18.04,20.49
2006,15.51,22.15,15.64,9.01,13.6,19.24,15.64,11.94,11.48,35.07,26.27,29.39,26.64,11.99,33.42,27.37,-3.04,1.74,3.14,4.27,4.55,0.43,14.97,11.28,19.35,3.77,22.17,30.34
2007,5.49,0.09,5.39,12.56,6.02,-7.07,1.16,9.63,-5.4,-16.46,11.15,38.9,15.52,4.78,13.82,12.66,23.8,9.24,9.98,6.92,4.65,11.59,8.34,5.61,-3.3,7.89,30.56,5.15
2008,-37.04,-35.97,-37.02,-38.32,-41.82,-32.05,-36.07,-40,-39.49,-37.05,-41.27,-52.81,-44.1,-34.36,-44.73,-41.74,-43.33,22.52,13.32,5.05,1.97,-2.85,-22.3,-9.84,-41.1,6.68,4.96,-46.62
2009,28.7,19.58,26.49,36.29,40.22,30.34,36.12,41.85,25.95,29.58,28.27,75.98,36.73,21.18,31.91,33.77,39.92,-12.05,-1.69,5.93,0.53,10.8,22.2,16.02,34.69,1.44,23.99,47.12
2010,17.09,14.28,14.91,16.96,25.46,24.82,27.72,30.69,24.86,28.3,8.36,18.86,11.12,15.77,4.91,7.31,24.13,8.93,7.35,6.42,0.01,6.17,10.94,10.65,14.82,2.64,29.27,24.97
2011,0.96,1,1.97,1.71,-2.11,-4.16,-2.8,-1.58,-7.86,8.47,-12.51,-19.18,-14.56,-14,-11.6,-14.58,-7.56,29.28,9.8,7.56,0.02,13.24,3.85,9.63,-4,2.26,9.57,-19.09
2012,16.25,15,15.82,16.89,15.8,18.56,18.04,17.52,19.83,17.53,18.56,18.64,18.14,15.49,20.8,20.18,5.31,3.47,2.67,4.05,0.02,6.78,12.57,10.06,20.78,0.69,6.6,18.89
2013,33.35,32.85,32.18,32.16,35,36.41,37.62,37.98,50.91,2.31,22.06,-5.19,15.04,17.36,24.7,22.15,-14.81,-13.03,-3.09,-2.26,0.01,-8.92,19.66,9.19,36.08,-0.1,-28.33,17.44
2014,12.43,13.05,13.51,13.47,13.6,10.39,7.37,3.88,4.61,30.13,-5.66,0.42,-4.24,-4.69,-6.67,-6.69,-18.06,25.27,4.32,5.76,0.01,3.83,9.82,8.07,11.82,0.71,-2.19,-4.81
2015,0.29,-1.03,1.25,3.17,-1.46,-4.78,-3.78,-2.64,-3.94,2.22,-0.18,-15.51,-4.37,2.25,-2,-6.44,-25.7,-1.54,1.5,0.3,0.02,-1.83,0.06,1.28,-3.32,0.45,-10.67,-0.32
